URL,Error
https://uidai.gov.in/images/Amended_Citizen_Charter_July_2023.pdf,Response content isn't text
https://uidai.gov.in/images/GIGW_Website_Certificate_Oct_2023.pdf,Response content isn't text
https://uidai.gov.in/images/training-2021/LearnerGuide/New_Test_Structure_effective_from_01st_January_2022.pdf,Response content isn't text
https://uidai.gov.in/images/the_aadhaar_act_2016.pdf,Response content isn't text
https://uidai.gov.in/images/Aadhaar_Enrolment_and_Update_-_English.pdf,Response content isn't text
https://uidai.gov.in/images/commdoc/valid_documents_list.pdf,Response content isn't text
https://uidai.gov.in/images/Internal_Complaints_Committee_under_POSH_act_in_ro_UIDAI_Head_office_Regional_Office_and_Tech_Centre.pdf,Response content isn't text
https://uidai.gov.in/images/POSH-Policy-22042019.pdf,Response content isn't text
https://uidai.gov.in/images/Citizen_Charter_Jan24.pdf,Response content isn't text
https://uidai.gov.in/images/Committee_of_FAAs_and_CPIO.pdf,Response content isn't text
https://uidai.gov.in/images/ConsultantAdvertisement.pdf,Response content isn't text
https://uidai.gov.in/images/Aadhaar_Act_2016_as_amended.pdf,Response content isn't text
https://uidai.gov.in/images/notification_chairman_rules_13072016.pdf,Response content isn't text
https://uidai.gov.in/images/notification_of_sections_13072016.pdf,Response content isn't text
https://uidai.gov.in/images/notification_authority_13072016.pdf,Response content isn't text
https://uidai.gov.in/images/71Notification_for_charges_for_authentication_services_provided_by_UIDAI_till_December_2017_0001.pdf,Response content isn't text
https://uidai.gov.in/images/Device_Certification_application_form.pdf,Response content isn't text
https://uidai.gov.in/images/status_of_empanelment_as_on_21112016.zip,Response content isn't text
https://uidai.gov.in/images/aek_certificates.zip,Response content isn't text
https://uidai.gov.in/images/69Circular_for_Registered_Devices_dated_24th_May_2017_0001_0001.pdf,Response content isn't text
https://uidai.gov.in/images/60Circular_Continuation_of_Office_Circular_dated_31st_May_2017.pdf,Response content isn't text
https://uidai.gov.in/images/58Circular_for_Bank_Challan_details_for_Fee_remittance.pdf,Response content isn't text
https://uidai.gov.in/images/57Circular_for_Extension_of_depositing_Bank_Guarantee_and_License_Fee.pdf,Response content isn't text
https://uidai.gov.in/images/50Circular_Regarding_submission_of_Bank_Guarantee.pdf,Response content isn't text
https://uidai.gov.in/images/resource/Do_and_Donts_for_Ministry_and_State_Version5_20102017.pdf,Response content isn't text
https://uidai.gov.in/images/47Sharing_of_eKYC_data_with_their_Sub-AUAs.pdf,Response content isn't text
https://uidai.gov.in/images/45Circular_regarding_clarification_on_GST_for_the_License_Fee_Financial_Disincentive_and_Late_Payment.pdf,Response content isn't text
https://uidai.gov.in/images/resource/aadhaar_ekyc_api_2_5.pdf,Response content isn't text
https://uidai.gov.in/images/38Implementation_of_Virtual_ID_and_UID_Token_and_Limited_e-KYC_dated_30082018.pdf,Response content isn't text
https://uidai.gov.in/images/37Circular_1_of_2019__Implementation_of_Virtual_ID_UID_Token_and_Limited_e-KYC_0001.pdf,Response content isn't text
https://uidai.gov.in/images/35Circular_for_License_Renewal.pdf,Response content isn't text
https://uidai.gov.in/images/42Reminder_for_Submission_of_License_Fee__Bank_Guarantee.pdf,Response content isn't text
https://uidai.gov.in/images/34Circular_3_of_2019_Implementation_of_Virtual_ID_UID_Token_and_Limited_e-KYC.pdf,Response content isn't text
https://uidai.gov.in/images/33Circular_for_Reminder_of_License_Fee_Renewal.pdf,Response content isn't text
https://uidai.gov.in/images/32Circular_6_of_2019__Implementation_of_Virtual_ID_UID_Token_and_Limited_eKYC.pdf,Response content isn't text
https://uidai.gov.in/images/Ordinance__Aadhaar_amendment_07032019.pdf,Response content isn't text
https://uidai.gov.in/images/Aadhaar_Act_2016_English.pdf,Response content isn't text
https://uidai.gov.in/images/YoungProfessionalsHiringPolicy.pdf,Response content isn't text
https://uidai.gov.in/images/Internship_policy.pdf,Response content isn't text
https://uidai.gov.in/images/Consultative_Committee.pdf,Response content isn't text
https://uidai.gov.in/images/Transparency_Audit_Report_UIDAI_2022-23.pdf,Response content isn't text
https://uidai.gov.in/images/training_programmes_during_2021-22.pdf,Response content isn't text
https://uidai.gov.in/images/Transparency_Audit_Report_Year-2021-22.pdf,Response content isn't text
https://uidai.gov.in/images/TAR_Report_for_2019_20.pdf,Response content isn't text
https://uidai.gov.in/images/resource/Requesting_Entity_Compliance_Checklist_V3.0.pdf,Response content isn't text
https://uidai.gov.in/images/Quarterly_RTI_Reports_for_all_the_04_quarters_of_year_2023-24.pdf,Response content isn't text
https://uidai.gov.in/images/Domestic_Foreign_Tour_2023-24.pdf,Response content isn't text
https://uidai.gov.in/images/RTI_Quarterly_reports_2021.pdf,Response content isn't text
https://uidai.gov.in/images/RTI_Quartelry_reports_2021_onwards.pdf,Response content isn't text
https://uidai.gov.in/images/RTI_Quaterly_reports_for_year_2022_23.pdf,Response content isn't text
https://uidai.gov.in/images/RTI_Audit_Air_Travels_DDG_and_Above_22-23.pdf,Response content isn't text
https://uidai.gov.in/images/Air_ticket_Details_domestic_tours.pdf,Response content isn't text
https://uidai.gov.in/images/TAR_2020-2021.pdf,Response content isn't text
https://uidai.gov.in/images/UIDAI_Annual_Report-2022-23_English.pdf,Response content isn't text
https://uidai.gov.in/images/CPIO_FAA_appointment_for_website_12.09.2022.pdf,Response content isn't text
https://uidai.gov.in/images/Current_List-II_of_CPIO_FAA-ROs_on_27.07.2022.pdf,Response content isn't text
https://uidai.gov.in/images/List_of_CPIOs_FAAs_UIDAI_ROs_15042024.pdf,Response content isn't text
https://uidai.gov.in/images/List_of_CPIOs_FAAs_at_UIDAI_HO_15042024.pdf,Response content isn't text
https://uidai.gov.in/images/Appointment_Orders_of_CPIOs-FAAs_15.04.2024.pdf,Response content isn't text
https://uidai.gov.in/images/Current_List-I_of_CPOI_FAA-HQs_on_28.07.2022.pdf,Response content isn't text
https://uidai.gov.in/images/RTI_section4_1bXIV_FlagD.pdf,Response content isn't text
https://uidai.gov.in/images/RTI_section4_1bXIII_FlagC.pdf,Response content isn't text
https://uidai.gov.in/images/RTI_section4_1bXII_FlagB.pdf,Response content isn't text
https://uidai.gov.in/images/Remuneration_Mar_24.pdf,Response content isn't text
https://uidai.gov.in/images/UIDAI_Monthly_Remuneration_Report_May_2023_for_RTI.pdf,Response content isn't text
https://uidai.gov.in/images/UIDAI_Monthly_Remuneration_Report_February_2023_for_RTI.xlsx,Response content isn't text
https://uidai.gov.in/images/UIDAI_Monthly_Remuneration_Report_Nov_2022.xlsx,Response content isn't text
https://uidai.gov.in/images/UIDAI_Monthly_Remuneration_Report__Aug_2022_for_RTI_on_Website.pdf,Response content isn't text
https://uidai.gov.in/images/UIDAI_Monthly_Remuneration_Report_FEB_2022.xlsx,Response content isn't text
https://uidai.gov.in/images/UIDAI_Monthly_Remuneration_Report_Jun_2021_for_RTI-converted.pdf,Response content isn't text
https://uidai.gov.in/images/UIDAI_Monthly_Remuneration_Report_July_2021_for_RTI.xlsx,Response content isn't text
https://uidai.gov.in/images/11_Salary_Allowance_of_Employee_of_UIDAI.pdf,Response content isn't text
https://uidai.gov.in/images/IEM_UIDAI_2021to2024.pdf,Response content isn't text
https://uidai.gov.in/images/RTI_section4_1bVII_FlagA.pdf,Response content isn't text
https://uidai.gov.in/images/tenders/procurement_manual_2014_with_appendices_01042014.pdf,Response content isn't text
https://uidai.gov.in/images/Citizen_Charter_Jan_24.pdf,Response content isn't text
https://uidai.gov.in/images/Organogram_RO_04062024.pdf,Response content isn't text
https://uidai.gov.in/images/Organogram_HO_04062024.pdf,Response content isn't text
https://uidai.gov.in/images/sec17_18_19_and_51.pdf,Response content isn't text
https://uidai.gov.in/images/news/Amendment_Act_2019.pdf,Response content isn't text
https://uidai.gov.in/images/targeted_delivery_of_financial_and_other_subsidies_benefits_and_services_13072016.pdf,Response content isn't text
https://uidai.gov.in/images/AEK%20Specification%20Circular.pdf,Response content isn't text
https://uidai.gov.in/images/SOP_28.10.2021-Name_And_Gender_UpdateRequest_under_Exception_Handling_Process.pdf,Response content isn't text
https://uidai.gov.in/images/Biometric_exception_guidelines_01-08-2014.pdf,Response content isn't text
https://uidai.gov.in/images/training-2021/LearnerGuide/UIDAI_Handbook_for_Ecosystem_Partners_Telugu.pdf,Response content isn't text
https://uidai.gov.in/images/training-2021/LearnerGuide/UIDAI_Handbook_for_Ecosystem_Partners_Odiya.pdf,Response content isn't text
https://uidai.gov.in/images/training-2021/LearnerGuide/UIDAI_Handbook_for_Ecosystem_Partners_Punjabi.pdf,Response content isn't text
https://uidai.gov.in/images/training-2021/LearnerGuide/UIDAI_Handbook_for_Ecosystem_Partners_Marathi.pdf,Response content isn't text
https://uidai.gov.in/images/training-2021/LearnerGuide/UIDAI_Handbook_for_Ecosystem_Partners_Urdu.pdf,Response content isn't text
