Stat,Value
log_count/WARNING,1
log_count/DEBUG,622
log_count/INFO,14
start_time,2024-06-23 17:41:20.735217+00:00
scheduler/enqueued/memory,297
scheduler/enqueued,297
scheduler/dequeued/memory,128
scheduler/dequeued,128
downloader/request_count,128
downloader/request_method_count/GET,128
downloader/request_bytes,46130
downloader/response_count,125
downloader/response_status_count/200,111
downloader/response_bytes,179746014
httpcompression/response_bytes,2229700
httpcompression/response_count,20
response_received_count,113
request_depth_max,3
downloader/response_status_count/301,12
dupefilter/filtered,10
downloader/response_status_count/403,1
httperror/response_ignored_count,2
httperror/response_ignored_status_count/403,1
downloader/exception_count,3
downloader/exception_type_count/twisted.internet.error.TCPTimedOutError,3
retry/count,2
retry/reason_count/twisted.internet.error.TCPTimedOutError,2
retry/max_reached,1
log_count/ERROR,2
downloader/response_status_count/404,1
httperror/response_ignored_status_count/404,1
